Merchant_ID,Merchant_Country,Merchant_Language,Merchant_Creation_Timestamp,Merchant_Subscription_Timestamp,Merchant_Days_To_Subscribe,Merchant_Hours_To_Subscribe,Merchant_End_Trial,Merchant_Creation_Year,Merchant_Creation_Month,Merchant_Creation_Day_Of_Week,Merchant_Creation_Time,Merchant_Creation_Time_Period,Merchant_Billing_Country,Merchant_Billing_City,Merchant_Billing_Zip,Merchant_Plan_Offer,Merchant_Plan_Periodicity,Shop_Status,Shop_Name,Shop_ID,Shop_Image_Version,Shop_Existence_Days,Shop_Last_Bo_Connection_Date,Shop_Theme,Shop_Last_Theme_Change_Date,Shop_Products_Count,Shop_Shipping_Methods_Count,Shop_Last_Shipping_Method_Config_Date,Shop_Payment_Methods_Count,Shop_Last_Payment_Method_Config_Date,Shop_Bo_Connections,Shop_Bo_Connections_Last_7_Days,Shop_Bo_Connections_Last_30_Days,Shop_Orders_Count,Shop_Orders_Count_Last_7_Days,Shop_Orders_Count_Last_30_Days,Shop_Last_Order_Date,Shop_Gross_Sales,Shop_Gross_Sales_Last_7_Days,Shop_Gross_Sales_Last_30_Days,Shop_Last_Logo_Change_Date,Shop_Last_Favicon_Change_Date
2100,fr,fr,2017-12-01 05:37:17.000000 UTC,,,,2017-12-31,2017,December,Friday,06:37,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,DEVIBOX SHOP,devibox-shop,1.7.2.4__1.1.0__20171129,11,20171212,classic,,3,1,20171202,4,20171202,55,24,55,0,0,0,,0,0,0,20171201,20171201
2119,fr,fr,2017-12-01 13:19:05.000000 UTC,,,,2017-12-31,2017,December,Friday,14:19,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,philateliebernard,philateliebernard,1.7.2.4__1.1.0__20171129,11,20171212,shopping,20171207,0,1,20171202,4,20171202,45,20,45,0,0,0,,0,0,0,,
2491,es,es,2017-11-30 19:39:33.000000 UTC,,,,2017-12-30,2017,November,Thursday,20:39,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,Senderodeluz,senderodeluz,1.7.2.4__1.1.0__20171129,12,20171212,lifestyle,20171207,77,0,,4,20171202,22,22,22,0,0,0,,0,0,0,20171207,
1902,fr,fr,2017-11-28 07:24:30.000000 UTC,,,,2017-12-28,2017,November,Tuesday,08:24,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,Espace et confort,espace-et-confort,1.7.2.1__1.0.1__20171030-02,14,20171209,classic,,18,2,20171201,4,20171129,50,28,50,0,0,0,,0,0,0,20171202,
1929,fr,fr,2017-11-28 13:34:56.000000 UTC,,,,2017-12-28,2017,November,Tuesday,14:34,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,CHOUETTE,chouette,1.7.2.1__1.0.1__20171030-02,14,20171211,classic,20171207,0,1,20171129,4,20171129,45,15,45,0,0,0,,0,0,0,20171207,
2347,fr,fr,2017-11-28 15:06:30.000000 UTC,2017-12-07 00:08:20.000000 UTC,8,201,2017-12-28,2017,November,Tuesday,16:06,Day,fr,Chaudun,2200,Start,Monthly,created,Lililalicorne,lililalicorne,1.7.2.1__1.0.1__20171030-02,14,20171212,classic,20171129,10,1,20171212,4,20171129,73,61,73,0,0,0,,0,0,0,20171207,20171129
1943,fr,fr,2017-11-28 18:30:12.000000 UTC,,,,2017-12-28,2017,November,Tuesday,19:30,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,graffiti17,graffiti17,1.7.2.1__1.0.1__20171030-02,14,20171203,classic,,1,2,20171130,4,20171130,15,0,15,0,0,0,,0,0,0,20171128,
2082,es,es,2017-11-28 22:53:47.000000 UTC,,,,2017-12-28,2017,November,Tuesday,23:53,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,Sendero De Luz,sendero-de-luz,1.7.2.4__1.1.0__20171207,14,20171208,classic,20171205,19,1,20171201,4,20171209,50,11,50,0,0,0,,0,0,0,20171129,
1938,fr,fr,2017-11-28 16:56:28.000000 UTC,,,,2017-12-28,2017,November,Tuesday,17:56,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,asma,asma,1.7.2.1__1.0.1__20171030-02,14,20171212,lifestyle,20171203,44,2,20171208,4,20171129,62,32,62,0,0,0,,0,0,0,,
2043,es,es,2017-11-27 10:42:11.000000 UTC,2017-11-30 10:07:52.000000 UTC,2,71,2017-12-27,2017,November,Monday,11:42,Morning,es,Paris,75009,Start,Monthly,created,Instrumentrial,instrumentrial,1.7.2.1__1.0.1__20171030-02,15,20171212,classic,,0,1,20171128,4,20171128,20,8,20,0,0,0,,0,0,0,,
2000,fr,fr,2017-11-27 09:43:38.000000 UTC,,,,2017-12-27,2017,November,Monday,10:43,Morning,fr,Loison sous Lens,62218,Trial,Unknown,created,Les Appâts de l'Artois,les-appats-de-lartois,1.7.2.1__1.0.1__20171030-02,15,20171129,lifestyle,,0,2,20171129,4,20171128,22,0,22,0,0,0,,0,0,0,20171127,20171127
1801,es,es,2017-11-26 23:05:40.000000 UTC,,,,2017-12-26,2017,November,Monday,00:05,Night,es,SANT ANDREU DE LA BARCA ,8740,Trial,Unknown,created,MI COLECCION ,mi-coleccion,1.7.2.1__1.0.1__20171030-02,15,20171212,classic,20171127,1,1,20171127,4,20171127,31,5,31,0,0,0,,0,0,0,20171127,
2565,fr,fr,2017-11-27 10:56:57.000000 UTC,,,,2017-12-27,2017,November,Monday,11:56,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,LILISHOP,lilishop,1.7.2.1__1.0.1__20171030-02,15,20171211,lifestyle,,48,2,20171128,4,20171128,59,33,59,0,0,0,,0,0,0,20171204,
1917,es,es,2017-11-27 14:53:58.000000 UTC,,,,2017-12-27,2017,November,Monday,15:53,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,Ventura hostelería,ventura-hosteleria,1.7.2.1__1.0.1__20171030-02,15,20171204,lifestyle,20171129,9,2,20171205,4,20171128,22,0,22,0,0,0,,0,0,0,20171128,
1859,fr,fr,2017-11-27 15:34:03.000000 UTC,,,,2017-12-27,2017,November,Monday,16:34,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,lesnanasdabord,lesnanasdabord,1.7.2.1__1.0.1__20171030-02,15,20171206,classic,20171206,7,1,20171128,4,20171128,22,3,22,0,0,0,,0,0,0,20171127,
1845,es,es,2017-11-27 10:47:54.000000 UTC,,,,2017-12-27,2017,November,Monday,11:47,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,suministros,suministros,1.7.2.1__1.0.1__20171030-02,15,20171212,classic,20171127,5,1,20171128,4,20171128,20,4,20,3,0,3,20171204,236.08,0,236.08,20171127,
1783,es,es,2017-11-26 16:02:19.000000 UTC,2017-11-26 17:07:45.000000 UTC,0,1,2017-12-26,2017,November,Sunday,17:02,Day,es,Sant Climent Sescebes,17751,Start,Monthly,created,Hoku_Shop,hoku-shop,1.7.2.1__1.0.1__20171030-02,16,20171208,minimal,20171204,0,1,20171128,4,20171128,34,2,34,0,0,0,,0,0,0,20171127,
1775,fr,fr,2017-11-26 14:59:20.000000 UTC,,,,2017-12-26,2017,November,Sunday,15:59,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,le royaume de choupette,le-royaume-de-choupette,1.7.2.1__1.0.1__20171030-02,16,20171203,classic,,1,0,,4,20171128,23,0,23,0,0,0,,0,0,0,20171126,
1765,fr,fr,2017-11-26 11:24:35.000000 UTC,,,,2017-12-26,2017,November,Sunday,12:24,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,CS EXPERTS BUREAUTIQUE,cs-experts-bureautique,1.7.2.1__1.0.1__20171030-02,16,20171127,classic,,1,1,20171127,4,20171127,20,0,20,0,0,0,,0,0,0,20171126,
1728,fr,fr,2017-11-25 15:41:07.000000 UTC,2017-11-25 16:07:51.000000 UTC,0,0,2017-12-25,2017,November,Saturday,16:41,Day,fr,CAMBRAI,59400,Start,Monthly,created,CBONAFFAIRE,cbonaffaire,1.7.2.1__1.0.1__20171030-02,17,20171212,classic,20171127,106,4,20171127,4,20171126,97,13,97,2,0,2,20171204,374.1,0,374.1,20171128,
2206,fr,fr,2017-11-25 00:41:10.000000 UTC,2017-12-03 13:07:48.000000 UTC,8,204,2017-12-25,2017,November,Saturday,01:41,Night,fr,Irigny,69540,Start,Monthly,created,EMOUNEL EPICES,emounel-epices,1.7.2.1__1.0.1__20171030-02,17,20171212,classic,,8,1,20171212,4,20171126,61,48,61,2,2,2,20171211,31.54,31.54,31.54,20171130,
1693,es,es,2017-11-24 19:28:17.000000 UTC,,,,2017-12-24,2017,November,Friday,20:28,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,Infinity 21,infinity21,1.7.2.1__1.0.1__20171030-02,18,20171128,classic,,1,1,20171125,4,20171125,20,0,20,0,0,0,,0,0,0,20171124,20171124
1692,es,es,2017-11-24 19:52:05.000000 UTC,,,,2017-12-24,2017,November,Friday,20:52,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,Rey Lobo,rey-lobo,1.7.2.1__1.0.1__20171030-02,18,20171211,classic,,24,2,20171126,4,20171126,51,34,51,1,1,1,20171209,25.41,25.41,25.41,20171124,
2490,fr,fr,2017-11-24 14:55:58.000000 UTC,2017-12-10 01:07:59.000000 UTC,15,370,2017-12-24,2017,November,Friday,15:55,Day,fr,Bonneville-sur-touques,14800,Start,Yearly,created,MilaetJoy,milaetjoy,1.7.2.1__1.0.1__20171030-02,18,20171211,lifestyle,,119,2,20171209,4,20171125,43,38,43,0,0,0,,0,0,0,20171206,20171206
2005,fr,fr,2017-11-24 15:31:36.000000 UTC,,,,2017-12-24,2017,November,Friday,16:31,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,Alsace Equipement,alsace-equipement,1.7.2.1__1.0.1__20171030-02,18,20171129,classic,,0,1,20171126,4,20171126,15,0,15,0,0,0,,0,0,0,20171124,
1619,fr,fr,2017-11-23 11:17:39.000000 UTC,,,,2017-12-23,2017,November,Thursday,12:17,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,acetraine,acetraine,1.7.2.1__1.0.1__20171030-02,19,20171126,minimal,20171123,4,1,20171124,4,20171124,26,0,26,0,0,0,,0,0,0,20171123,
1616,fr,fr,2017-11-23 11:49:55.000000 UTC,,,,2017-12-23,2017,November,Thursday,12:49,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,BabyBox,babybox,1.7.2.1__1.0.1__20171030-02,19,20171206,minimal,20171124,5,1,20171125,4,20171125,41,1,41,0,0,0,,0,0,0,20171129,
1549,fr,fr,2017-11-22 12:22:15.000000 UTC,,,,2017-12-22,2017,November,Wednesday,13:22,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,L'atelier,atelier-neoma-bs,1.7.2.1__1.0.1__20171030-02,20,20171208,lifestyle,20171128,0,1,20171123,4,20171123,39,8,39,0,0,0,,0,0,0,20171208,20171208
1754,fr,fr,2017-11-22 20:58:59.000000 UTC,2017-11-25 23:07:48.000000 UTC,3,74,2017-12-22,2017,November,Wednesday,21:58,Evening,fr,Gennevilliers,92230,Start,Monthly,created,Graphics Shop,graphics-shop,1.7.2.1__1.0.1__20171030-02,20,20171210,classic,20171123,15,1,20171128,4,20171124,85,6,85,1,0,1,20171202,0.1,0,0.1,20171124,
1531,fr,fr,2017-11-22 09:22:15.000000 UTC,,,,2017-12-22,2017,November,Wednesday,10:22,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,Jiovanniwatch,jiovanniwatch,1.7.2.1__1.0.1__20171030-02,20,20171211,lifestyle,20171205,5,0,,4,20171124,117,26,117,1,0,1,20171204,696,0,696,20171124,20171204
1961,it,it,2017-11-21 21:15:51.000000 UTC,,,,2017-12-21,2017,November,Tuesday,22:15,Evening,it,Napoli,80142,Trial,Unknown,created,Software,software,1.7.2.1__1.0.1__20171030-02,21,20171211,classic,,6,1,20171130,4,20171123,46,12,46,0,0,0,,0,0,0,20171123,20171123
1308,es,es,2017-11-18 09:42:25.000000 UTC,,,,2017-12-18,2017,November,Saturday,10:42,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,adaptalia,adaptalia,1.7.2.1__1.0.1__20171030-02,24,20171203,minimal,,9,2,20171120,4,20171119,19,0,19,0,0,0,,0,0,0,,
1524,fr,fr,2017-11-18 04:24:34.000000 UTC,2017-11-22 02:07:48.000000 UTC,3,93,2017-12-18,2017,November,Saturday,05:24,Night,fr,montbéliard,25200,Start,Monthly,created,Ma boutique du Traileur,ma-boutique-du-traileur,1.7.2.1__1.0.1__20171030-02,24,20171205,lifestyle,20171201,2,3,20171119,4,20171119,22,0,22,0,0,0,,0,0,0,20171118,
1296,es,es,2017-11-17 23:04:36.000000 UTC,,,,2017-12-17,2017,November,Saturday,00:04,Night,Unknown,Unknown,Unknown,Trial,Unknown,created,warbonnetshop,warbonnetshop,1.7.2.1__1.0.1__20171030-02,24,20171124,lifestyle,,8,1,20171119,4,20171119,20,0,20,0,0,0,,0,0,0,20171124,
2041,fr,fr,2017-11-17 19:29:31.000000 UTC,2017-11-30 10:07:52.000000 UTC,12,302,2017-12-17,2017,November,Friday,20:29,Evening,fr,urrugne,64122,Start,Monthly,created,Dantzaka,dantzaka,1.7.2.1__1.0.1__20171030-02,25,20171201,lifestyle,20171129,0,1,20171119,4,20171119,27,0,27,0,0,0,,0,0,0,20171130,20171130
1294,fr,fr,2017-11-17 21:46:38.000000 UTC,,,,2017-12-17,2017,November,Friday,22:46,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,testengenia,testengenia,1.7.2.1__1.0.1__20171030-02,25,20171207,classic,,1,1,20171124,4,20171119,27,1,27,0,0,0,,0,0,0,20171122,20171122
2428,it,it,2017-11-17 10:50:51.000000 UTC,2017-12-08 15:07:50.000000 UTC,21,508,2017-12-17,2017,November,Friday,11:50,Morning,it,Vicenza,36100,Start,Monthly,created,GivovaVicenza,givovavicenza,1.7.2.1__1.0.1__20171030-02,25,20171211,classic,,45,2,20171123,4,20171119,130,30,130,2,2,2,20171207,4,4,4,20171122,20171122
1241,es,es,2017-11-17 06:37:33.000000 UTC,,,,2017-12-17,2017,November,Friday,07:37,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,Bajoques Farcides,bajoques-farcides,1.7.2.1__1.0.1__20171030-02,25,20171201,classic,20171126,3,1,20171119,4,20171119,57,0,57,0,0,0,,0,0,0,20171126,
1445,fr,fr,2017-11-16 09:46:26.000000 UTC,2017-11-20 18:07:49.000000 UTC,4,104,2017-12-16,2017,November,Thursday,10:46,Morning,fr,Reims,51100,Start,Yearly,created,DP Style,dp-style,1.7.2.1__1.0.1__20171030-02,26,20171124,lifestyle,,1,1,20171118,4,20171118,23,0,23,0,0,0,,0,0,0,20171122,
1222,it,it,2017-11-16 16:40:03.000000 UTC,,,,2017-12-16,2017,November,Thursday,17:40,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,GAME4U,game4u,1.7.2.1__1.0.1__20171030-02,26,20171128,classic,,1,2,20171117,4,20171117,22,0,22,0,0,0,,0,0,0,20171116,
1225,es,es,2017-11-16 17:14:09.000000 UTC,,,,2017-12-16,2017,November,Thursday,18:14,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,lindadecoracion,lindadecor,1.7.2.1__1.0.1__20171030-02,26,20171209,classic,,390,2,20171117,4,20171117,15,1,15,0,0,0,,0,0,0,,
2424,it,it,2017-11-14 16:06:57.000000 UTC,2017-12-08 14:07:44.000000 UTC,23,574,2017-12-14,2017,November,Tuesday,17:06,Day,it,Monticelli di Esperia,3045,Start,Yearly,created,Pratoroll,pratoroll,1.7.2.1__1.0.1__20171030-02,28,20171211,classic,,12,2,20171210,4,20171115,38,22,38,2,0,2,20171115,0,0,0,20171114,20171114
1089,fr,fr,2017-11-14 15:10:47.000000 UTC,,,,2017-12-14,2017,November,Tuesday,16:10,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,Pubox,pubox,1.7.2.1__1.0.1__20171030-02,28,20171114,classic,,3,1,20171115,4,20171115,18,0,18,0,0,0,,0,0,0,20171114,
1313,es,es,2017-11-14 19:36:40.000000 UTC,2017-11-18 12:07:43.000000 UTC,3,88,2017-12-14,2017,November,Tuesday,20:36,Evening,es,Baeza,23440,Start,Monthly,created,FERNANBRENES ,fernanbrenes,1.7.2.1__1.0.1__20171030-02,28,20171123,lifestyle,20171122,89,2,20171126,4,20171116,67,0,67,0,0,0,,0,0,0,20171120,20171115
1062,it,it,2017-11-14 10:24:45.000000 UTC,,,,2017-12-14,2017,November,Tuesday,11:24,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,storegiocoboutique,storegiocoboutique,1.7.2.1__1.0.1__20171030-02,28,20171207,classic,,0,1,20171115,4,20171115,23,4,23,0,0,0,,0,0,0,20171114,
1008,es,es,2017-11-13 00:19:17.000000 UTC,2017-11-13 12:07:47.000000 UTC,0,11,2017-12-13,2017,November,Monday,01:19,Night,es,Bilbao,48004,Start,Monthly,created,Northtribe,northtribe,1.7.2.1__1.0.1__20171030-02,29,20171203,minimal,20171113,0,1,20171113,4,20171113,36,0,36,0,0,0,,0,0,0,20171115,
993,es,es,2017-11-13 08:38:58.000000 UTC,,,,2017-12-13,2017,November,Monday,09:38,Morning,Unknown,Unknown,Unknown,Trial,Unknown,created,Las cositas de Teresa ,las-cositas-de-teresa,1.7.2.1__1.0.1__20171030-02,29,20171120,lifestyle,20171113,0,1,20171114,4,20171114,26,0,26,0,0,0,,0,0,0,20171113,
1006,es,en,2017-11-13 11:25:07.000000 UTC,,,,2017-12-13,2017,November,Monday,12:25,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,sanny's shop,sannys-shop,1.7.2.1__1.0.1__20171030-02,29,20171211,classic,20171113,58,2,20171115,4,20171114,39,11,39,0,0,0,,0,0,0,20171113,
1042,es,es,2017-11-13 19:53:27.000000 UTC,,,,2017-12-13,2017,November,Monday,20:53,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,iEvolutions,ievolutions,1.7.2.1__1.0.1__20171030-02,29,20171130,lifestyle,20171125,0,1,20171121,4,20171114,41,0,41,0,0,0,,0,0,0,20171120,20171120
983,fr,fr,2017-11-12 23:46:56.000000 UTC,,,,2017-12-12,2017,November,Monday,00:46,Night,Unknown,Unknown,Unknown,Trial,Unknown,created,Gamlet Inc.,gamlet-inc,1.7.2.1__1.0.1__20171030-02,29,20171211,lifestyle,,1,1,20171114,4,20171114,28,11,28,0,0,0,,0,0,0,,
1366,es,es,2017-11-13 07:25:45.000000 UTC,2017-11-19 16:07:46.000000 UTC,6,152,2017-12-13,2017,November,Monday,08:25,Morning,es,San Fernando,11100,Start,Monthly,created,Reylobo,reylobo,1.7.2.1__1.0.1__20171030-02,29,20171211,classic,,1,2,20171123,4,20171114,73,7,73,1,0,1,20171122,24.2,0,24.2,20171115,
1016,es,es,2017-11-13 13:08:21.000000 UTC,,,,2017-12-13,2017,November,Monday,14:08,Day,Unknown,Unknown,Unknown,Trial,Unknown,created,boleromoda,boleromoda,1.7.2.1__1.0.1__20171030-02,29,20171207,lifestyle,20171127,3,1,20171128,4,20171114,35,4,35,0,0,0,,0,0,0,20171125,20171114
953,fr,fr,2017-11-12 14:06:24.000000 UTC,,,,2017-12-12,2017,November,Sunday,15:06,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,Hard deal,hard-deal,1.7.2.1__1.0.1__20171030-02,30,20171117,minimal,,2,1,20171114,4,20171114,29,0,14,0,0,0,,0,0,0,20171112,
942,it,it,2017-11-12 11:00:30.000000 UTC,,,,2017-12-12,2017,November,Sunday,12:00,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,hlife,hlife,1.7.2.1__1.0.1__20171030-02,30,20171119,classic,,1,1,20171114,4,20171113,28,0,17,0,0,0,,0,0,0,20171112,20171112
944,es,es,2017-11-12 12:03:16.000000 UTC,,,,2017-12-12,2017,November,Sunday,13:03,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,BIOMONDE,biomonde,1.7.2.1__1.0.1__20171030-02,30,20171129,lifestyle,,2,2,20171120,4,20171114,30,0,21,3,0,3,20171120,3,0,3,20171117,
982,fr,fr,2017-11-12 22:44:21.000000 UTC,,,,2017-12-12,2017,November,Sunday,23:44,Evening,Unknown,Unknown,Unknown,Trial,Unknown,created,JEO-VER1,jeo-ver1,1.7.2.1__1.0.1__20171030-02,30,20171212,lifestyle,,11,3,20171202,4,20171114,188,61,187,4,0,4,20171130,1100058,0,1100058,20171210,20171211
1007,fr,fr,2017-11-12 16:52:05.000000 UTC,2017-11-13 12:07:47.000000 UTC,0,19,2017-12-12,2017,November,Sunday,17:52,Day,fr,COLOMBES,92700,Start,Monthly,created,honneurauxfemmes,honneurauxfemmes,1.7.2.1__1.0.1__20171030-02,30,20171211,lifestyle,20171114,22,2,20171205,4,20171114,52,13,52,0,0,0,,0,0,0,20171208,20171208
1293,fr,fr,2017-11-10 23:14:29.000000 UTC,,,,2017-12-10,2017,November,Saturday,00:14,Night,Unknown,Unknown,Unknown,Trial,Unknown,disabled,Vente de viennoiseries - Club Ados,viennoiseries-adosmons,1.7.2.1__1.0.1__20171030-02,31,20171124,classic,,3,1,20171113,4,20171112,35,0,20,2,0,1,20171119,3.4,0,2.3,20171111,20171111
2579,fr,fr,2017-11-11 18:31:38.000000 UTC,2017-12-12 12:08:52.000000 UTC,30,737,2017-12-11,2017,November,Saturday,19:31,Evening,fr,marseille,13381,Start,Monthly,created,Digitalshop,digitalshop,1.7.2.1__1.0.1__20171030-02,31,20171211,classic,20171121,2929,2,20171117,4,20171113,68,16,64,0,0,0,,0,0,0,20171112,
896,fr,fr,2017-11-11 11:08:17.000000 UTC,,,,2017-12-11,2017,November,Saturday,12:08,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,TEST-TAMARIS,test-tamaris,1.7.2.1__1.0.1__20171030-02,31,20171115,minimal,20171114,6,2,20171115,4,20171112,26,0,17,0,0,0,,0,0,0,20171114,
895,fr,fr,2017-11-11 11:27:35.000000 UTC,,,,2017-12-11,2017,November,Saturday,12:27,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,vegetalcare,vegetalcare,1.7.2.1__1.0.1__20171030-02,31,20171207,lifestyle,,4,1,20171112,4,20171112,61,2,39,0,0,0,,0,0,0,20171207,20171115
2475,fr,fr,2017-11-10 14:47:02.000000 UTC,2017-12-09 15:07:50.000000 UTC,29,696,2017-12-10,2017,November,Friday,15:47,Day,fr,ST CHRISTOL LES ALES,30380,Start,Yearly,created,Laghettoparts,laghettoparts,1.7.2.1__1.0.1__20171030-02,32,20171212,lifestyle,20171117,245,1,20171119,4,20171111,69,17,67,1,0,1,20171118,252.2,0,252.2,20171117,20171121
840,fr,fr,2017-11-10 14:53:21.000000 UTC,,,,2017-12-10,2017,November,Friday,15:53,Day,Unknown,Unknown,Unknown,Trial,Unknown,disabled,nk-shop,nk-shop,1.7.2.1__1.0.1__20171030-02,32,20171126,lifestyle,20171110,21,1,20171111,4,20171111,15,0,8,0,0,0,,0,0,0,20171111,
